GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waleed-ims,com.qa.ims.controller,ItemController,4,107,0,2,2,29,2,7,2,6
Waleed-ims,com.qa.ims.controller,OrderAction,33,83,2,0,9,9,3,3,2,3
Waleed-ims,com.qa.ims.controller,Action,33,83,2,0,9,9,3,3,2,3
Waleed-ims,com.qa.ims.controller,CustomerController,2,105,0,2,1,29,1,7,1,6
Waleed-ims,com.qa.ims.controller,OrderController,379,13,20,0,100,5,18,2,7,2
Waleed-ims,com.qa.ims,Ims,253,35,27,2,69,9,24,4,5,3
Waleed-ims,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
Waleed-ims,com.qa.ims.persistence.dao,ItemDaoMysql,84,222,1,1,28,44,4,9,3,9
Waleed-ims,com.qa.ims.persistence.dao,OrderDaoMysql,408,228,1,1,94,47,10,9,9,9
Waleed-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,78,227,1,1,27,45,4,9,3,9
Waleed-ims,com.qa.ims.services,ItemServices,0,28,0,0,0,8,0,5,0,5
Waleed-ims,com.qa.ims.services,OrderServices,22,28,0,0,6,8,5,5,5,5
Waleed-ims,com.qa.ims.services,CustomerServices,0,28,0,0,0,8,0,5,0,5
Waleed-ims,com.qa.ims.utils,Utils,26,0,0,0,6,0,3,0,3,0
Waleed-ims,com.qa.ims.persistence.domain,Order,101,274,9,35,33,69,17,31,9,17
Waleed-ims,com.qa.ims.persistence.domain,Domain,33,83,2,0,9,11,3,3,2,3
Waleed-ims,com.qa.ims.persistence.domain,Item,0,177,0,30,0,48,0,26,0,11
Waleed-ims,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
